  id   | map_id | trs_path  
   623 |    108 | 5N.1W.26
   624 |    108 | 5N.1W.35
   625 |    108 | 5N.1W.36
   629 |    109 | 2S.2W.14
   635 |    110 | 5N.1E.3
   636 |    110 | 5N.1E.4
   639 |    110 | 6N.1E.33
   675 |    112 | 3S.3E.36
   692 |    114 | 2N.1W.1
   693 |    114 | 2N.1W.12
   706 |    115 | 5N.1E.20
   707 |    116 | 5N.1W.25
   715 |    117 | 2N.1E.18
   722 |    118 | 6N.2E.30
   728 |    119 | 6N.2E.19
   731 |    120 | 3N.1W.33
   732 |    120 | 3N.1W.34
   733 |    121 | 2N.1W.2
   743 |    122 | 6N.1E.5
   749 |    122 | 7N.1E.20
   752 |    122 | 7N.1E.29
   753 |    122 | 7N.1E.30
   754 |    122 | 7N.1E.31
   755 |    122 | 7N.1E.32
   764 |    124 | 5N.1W.25
   765 |    124 | 5N.1W.36
   768 |    124 | 5N.1E.31
   777 |    125 | 3N.1W.18
   780 |    126 | 5N.1W.22
   781 |    126 | 5N.1W.23
   782 |    126 | 5N.1W.24
   783 |    126 | 5N.1W.25
   784 |    126 | 5N.1W.26
   785 |    126 | 5N.1W.27
   788 |    127 | 4S.3E.18
   795 |    128 | 4S.2E.24
   801 |    129 | 2N.2W.5
   806 |    129 | 3N.2W.32
   809 |    130 | 1N.1E.23
   810 |    130 | 1N.1E.24
   811 |    130 | 1N.1E.25
   812 |    130 | 1N.1E.26
   814 |    131 | 4S.4E.25
   818 |    131 | 4S.4E.33
   827 |    132 | 6N.3E.32
   829 |    133 | 2N.1W.23
   831 |    133 | 2N.1W.25
   832 |    133 | 2N.1W.26
   835 |    134 | 6N.1E.5
   836 |    134 | 6N.1E.6
   837 |    134 | 7N.1E.29
   838 |    134 | 7N.1E.30
   839 |    134 | 7N.1E.31
   840 |    134 | 7N.1E.32
   852 |    137 | 3S.3E.26
   871 |    140 | 6N.1E.5
   872 |    140 | 6N.1E.8
   873 |    140 | 6N.1E.9
   886 |    142 | 5N.1W.23
   887 |    142 | 5N.1W.24
   888 |    142 | 5N.1W.25
   889 |    142 | 5N.1W.26
   897 |    143 | 3N.1W.35
   909 |    143 | 8N.1W.23
   912 |    144 | 2S.2W.25
   918 |    145 | 3N.2W.15
   919 |    145 | 3N.2W.22
   922 |    146 | 1N.1E.6
   930 |    146 | 5N.1W.24
   931 |    146 | 5N.1W.25
   934 |    147 | 2S.2W.25
   938 |    148 | 2N.1W.2
   942 |    148 | 5N.1E.4
   950 |    149 | 2S.2W.12
   963 |    151 | 6N.1E.9
   966 |    151 | 6N.1E.16
   968 |    152 | 5S.3E.4
   980 |    153 | 6N.1E.8
   981 |    153 | 6N.1E.9
   982 |    153 | 6N.1E.16
   986 |    153 | 6N.1E.20
   987 |    153 | 6N.1E.21
   988 |    154 | 3N.2W.10
   989 |    154 | 3N.2W.11
   990 |    154 | 3N.2W.14
   991 |    154 | 3N.2W.15
   992 |    155 | 2N.1E.17
  1002 |    156 | 7N.1E.26
  1005 |    157 | 2N.1W.2
  1009 |    158 | 3N.1W.18
  1010 |    159 | 7N.1E.29
  1011 |    159 | 7N.1E.30
  1015 |    160 | 7N.1E.20
  1016 |    160 | 7N.1E.29
  1017 |    160 | 7N.1E.30
  1018 |    160 | 7N.1E.31
  1019 |    160 | 7N.1E.32
  1068 |    165 | 1N.2E.33
  1070 |    166 | 6N.3E.3
  1073 |    166 | 6N.3E.10
  1083 |    168 | 1N.1E.6
  1091 |    170 | 2S.3W.1
  1096 |    170 | 2S.2W.16
  1110 |    172 | 7N.3E.33
  1112 |    173 | 2N.1W.1
  1113 |    173 | 2N.1W.12
  1123 |    175 | 6N.2E.8
  1131 |    176 | 5N.1E.33
  1145 |    178 | 3S.2W.23
  1155 |    179 | 3N.1W.33
  1160 |    180 | 5N.2E.21
  1163 |    181 | 2N.1W.12
  1175 |    182 | 4S.4E.29
  1176 |    182 | 4S.4E.30
  1181 |    183 | 3S.2E.14
  1185 |    183 | 3S.2E.24
  1188 |    184 | 2N.1W.15
  1190 |    184 | 2N.1W.23
  1194 |    184 | 7N.1E.18
  1195 |    185 | 1N.3E.4
  1196 |    185 | 1N.3E.5
  1206 |    186 | 4N.3E.8
  1239 |    189 | 2S.2W.25
  1247 |    189 | 1S.1W.29
  1252 |    190 | 1N.3E.3
  1263 |    191 | 2N.1W.2
  1284 |    193 | 4S.5E.32
  1290 |    195 | 6N.1E.21
  1295 |    195 | 6N.1E.28
  1304 |    197 | 2S.1W.8
  1309 |    197 | 2S.1W.15
  1311 |    198 | 2S.1W.27
  1328 |    200 | 3N.2W.28
  1329 |    200 | 4N.1E.8
  1334 |    201 | 4N.1W.10
  1335 |    201 | 4N.2E.6
  1338 |    202 | 3S.3E.25
  1342 |    203 | 2S.2W.3
  1372 |    206 | 1S.1W.29
  1377 |    207 | 5N.1W.24
  1378 |    207 | 5N.1W.25
  1379 |    208 | 2S.1W.14
  1418 |    211 | 6N.2E.19
  1422 |    212 | 5N.1W.24
  1423 |    212 | 5N.1W.25
  1426 |    212 | 6N.1E.8
  1429 |    213 | 1S.2W.12
  1430 |    213 | 1S.1W.7
  1435 |    214 | 4N.2E.24
  1438 |    215 | 4S.2E.13
  1439 |    215 | 4S.3E.18
  1441 |    216 | 6N.1E.24
  1478 |    218 | 5N.1W.24
  1479 |    218 | 5N.1W.25
  1483 |    219 | 6N.1W.13
  1484 |    219 | 6N.1E.7
  1486 |    220 | 5N.1W.27
  1487 |    220 | 5N.1W.34
  1526 |    226 | 3N.1W.35
  1527 |    227 | 5N.1W.24
  1528 |    227 | 5N.1W.25
  1529 |    227 | 5N.1W.36
  1532 |    227 | 5N.1E.31
  1533 |    228 | 3N.1W.35
  1534 |    228 | 5N.1W.24
  1535 |    228 | 5N.1W.25
  1540 |    229 | 2N.1W.12
  1542 |    229 | 5N.1W.23
  1543 |    229 | 5N.1W.24
  1544 |    229 | 5N.1W.25
  1547 |    230 | 2N.1E.4
  1548 |    230 | 2N.1E.5
  1549 |    230 | 2N.1E.6
  1553 |    231 | 4N.1W.3
  1554 |    231 | 4N.1W.4
  1555 |    231 | 5N.1W.33
  1556 |    231 | 5N.1W.34
  1560 |    232 | 6N.2E.6
  1561 |    232 | 6N.2E.7
  1575 |    234 | 5N.1W.33
  1593 |    237 | 8N.1W.23
  1595 |    238 | 5N.1W.34
  1596 |    239 | 5N.1W.24
  1597 |    239 | 5N.1W.25
  1600 |    240 | 3N.1W.9
  1602 |    241 | 3S.3E.13
  1604 |    241 | 3S.3E.15
  1605 |    242 | 7N.1E.26
  1606 |    243 | 7N.1E.26
  1607 |    244 | 6N.1E.28
  1608 |    244 | 6N.1E.33
  1616 |    246 | 2S.4E.22
  1622 |    247 | 6N.1E.18
  1625 |    248 | 4N.1W.21
  1635 |    250 | 5N.1W.27
  1636 |    251 | 6N.2E.8
  1652 |    254 | 5N.1W.34
  1656 |    255 | 4N.1E.31
  1664 |    257 | 7N.2E.30
  1678 |    259 | 7N.1E.26
  1691 |    260 | 3N.4E.18
  1692 |    260 | 3N.4E.19
  1695 |    260 | 3N.4E.30
  1696 |    260 | 3N.4E.31
  1709 |    262 | 4N.1W.3
  1710 |    262 | 4N.1W.4
  1711 |    263 | 5N.1E.33
  1714 |    264 | 3N.1W.35
  1716 |    265 | 6N.2E.20
  1717 |    266 | 2N.1E.22
  1725 |    268 | 2N.1E.5
  1726 |    268 | 2N.1E.6
  1738 |    270 | 3N.1W.35
  1754 |    271 | 8N.1E.31
  1762 |    272 | 7N.1E.5
  1769 |    273 | 2N.2E.30
  1771 |    274 | 6N.1E.28
  1772 |    274 | 6N.1E.33
  1780 |    275 | 2N.4E.6
  1781 |    275 | 2N.4E.7
  1784 |    275 | 2N.4E.18
  1785 |    275 | 2N.4E.19
  1788 |    275 | 2N.4E.30
  1800 |    277 | 5N.1W.27
  1801 |    277 | 5N.1W.34
  1821 |    279 | 5N.1E.14
  1833 |    281 | 1N.2E.6
  1839 |    282 | 4N.2E.5
  1854 |    283 | 5N.1W.23
  1855 |    283 | 5N.1W.26
  1858 |    284 | 6N.1E.28
  1859 |    284 | 6N.1E.33
  1863 |    285 | 6N.1E.33
  1878 |    288 | 2N.1W.2
  1879 |    288 | 3N.1W.35
  1880 |    289 | 5N.1W.34
  1883 |    290 | 4N.1W.15
  1884 |    290 | 4N.1W.16
  1885 |    291 | 6N.1E.28
  1886 |    292 | 6N.1E.28
  1887 |    292 | 6N.1E.33
  1888 |    293 | 5N.1W.35
  1889 |    294 | 6N.1E.28
  1890 |    294 | 6N.1E.29
  1892 |    295 | 1N.1E.21
  1898 |    296 | 1N.2E.17
  1904 |    297 | 1N.1E.25
  1905 |    297 | 1N.1E.26
  1907 |    298 | 4N.1W.14
  1926 |    301 | 6N.3E.5
  1927 |    301 | 7N.3E.32
  1940 |    303 | 1N.2E.18
  1941 |    304 | 5N.1W.35
  1946 |    305 | 11N.1E.22
  1951 |    306 | 5N.1W.35
  1962 |    308 | 10N.1E.20
  1964 |    308 | 10N.1E.30
  1972 |    309 | 5N.3E.27
  1973 |    309 | 5N.3E.28
  1974 |    309 | 5N.3E.29
  1981 |    310 | 5N.1W.25
  1982 |    310 | 5N.1W.26
  1985 |    311 | 1N.2E.28
  1989 |    312 | 6N.1E.28
  1990 |    312 | 6N.1E.33
  1992 |    313 | 6N.1E.5
  1993 |    313 | 6N.1E.8
  1994 |    313 | 6N.1E.9
  1995 |    313 | 6N.1E.16
  1997 |    314 | 5N.1W.25
  1998 |    314 | 5N.1W.36
  1999 |    315 | 8N.1W.23
  2000 |    316 | 7N.1E.20
  2003 |    316 | 7N.1E.29
  2004 |    317 | 6N.1E.20
  2005 |    317 | 6N.1E.21
  2006 |    317 | 6N.1E.28
  2007 |    317 | 6N.1E.29
  2008 |    318 | 5N.1W.28
  2009 |    319 | 6N.1E.28
  2013 |    320 | 5N.1E.31
  2017 |    321 | 4N.1W.14
  2022 |    322 | 1N.1E.27
  2023 |    323 | 4S.3E.24
  2025 |    324 | 2S.3E.14
  2045 |    326 | 4N.2E.10
  2052 |    327 | 1S.4E.26
  2061 |    329 | 11N.1E.22
  2069 |    330 | 7N.1E.8
  2086 |    332 | 7N.1E.20
  2089 |    332 | 7N.1E.29
  2090 |    332 | 7N.1E.30
  2092 |    333 | 1N.1E.5
  2115 |    335 | 4N.1W.2
  2119 |    335 | 4N.1W.14
  2126 |    336 | 8N.1E.31
  2138 |    337 | 11N.2E.34
  2145 |    338 | 1S.1E.26
  2168 |    340 | 8N.1E.31
  2184 |    342 | 7N.1E.20
  2205 |    344 | 1N.2E.6
  2219 |    346 | 4N.1W.2
  2220 |    346 | 4N.1W.3
  2225 |    346 | 4N.1W.14
  2236 |    347 | 8N.1E.31
  2239 |    348 | 2S.3E.1
  2240 |    348 | 2S.3E.2
  2244 |    348 | 2S.3E.11
  2245 |    348 | 2S.3E.12
  2331 |    351 | 5N.1E.13
  2333 |    351 | 5N.2E.7
  2334 |    351 | 5N.2E.18
  2337 |    352 | 1N.1E.5
  2375 |    355 | 1N.3E.22
  2376 |    355 | 1N.3E.27
  2377 |    355 | 1N.3E.34
  2383 |    357 | 5N.1E.3
  2384 |    357 | 5N.1E.4
  2394 |    358 | 5N.3E.21
  2397 |    358 | 5N.3E.28
  2398 |    358 | 5N.3E.29
  2420 |    360 | 6N.2E.30
  2424 |    361 | 2N.4E.5
  2457 |    363 | 5N.2E.31
  2459 |    364 | 1S.2E.3
  2465 |    365 | 5N.2E.1
  2468 |    365 | 5N.2E.12
  2474 |    365 | 5N.3E.8
  2482 |    366 | 2N.1E.35
  2487 |    367 | 6N.3E.25
  2491 |    367 | 6N.4E.31
  2493 |    368 | 4N.1W.17
  2496 |    368 | 4N.1W.20
  2497 |    369 | 4N.2W.35
  2499 |    370 | 4N.1W.3
  2500 |    370 | 4N.1W.4
  2503 |    370 | 5N.1W.33
  2504 |    370 | 5N.1W.34
  2506 |    371 | 2N.1W.21
  2507 |    371 | 2N.1W.22
  2522 |    372 | 6N.3E.31
  2523 |    372 | 6N.3E.32
  2531 |    373 | 1N.1E.6
